date_time,open,high,low,close,volume
23-05-2023,19.52,20.17,19.42,20.03,560665.664
24-05-2023,20.03,20.07,18.69,19.21,709232.66
25-05-2023,19.21,19.59,18.78,19.25,450074.641
26-05-2023,19.25,19.56,19.1,19.35,263628.093
27-05-2023,19.35,20.52,19.32,20.43,236206.475
28-05-2023,20.43,21.18,20.28,20.81,320905.24
29-05-2023,20.81,20.98,20.26,20.59,287381.435
30-05-2023,20.59,21.4,20.47,21.25,552854.306
31-05-2023,21.25,21.33,20.36,20.82,354352.612
01-06-2023,20.82,20.98,20.41,20.5,332286.796
02-06-2023,20.5,21.37,20.3,21.26,363264.21
03-06-2023,21.26,21.35,20.96,21.18,235570.942
04-06-2023,21.18,22.29,21.03,21.82,461600.852
05-06-2023,21.82,22.05,19.22,20.01,951622.222
06-06-2023,20.01,20.69,19.22,20.38,745396.941
07-06-2023,20.38,20.53,18.5,18.63,778170.486
08-06-2023,18.63,19.12,18.24,18.89,492000.815
09-06-2023,18.89,19.37,17.11,17.39,972019.448
10-06-2023,17.39,17.41,12.75,15.62,2534463.803
11-06-2023,15.62,16.18,15.12,15.54,859446.649
12-06-2023,15.54,15.69,14.74,15.19,701611.419
13-06-2023,15.19,16.01,14.77,15.04,552723.042
14-06-2023,15.04,15.36,14.06,14.5,499072.842
15-06-2023,14.5,15.06,14.17,14.78,615951.309
16-06-2023,14.78,15.46,14.38,15.32,387505.251
17-06-2023,15.32,16.12,15.18,15.65,336934.969
18-06-2023,15.65,15.83,15.29,15.45,268634.051
19-06-2023,15.45,16.14,15.34,16.11,263637.588
20-06-2023,16.11,16.7,15.73,16.65,374313.857
21-06-2023,16.65,17.4,16.56,17.24,547722.245
22-06-2023,17.24,17.74,16.58,16.63,445183.646
23-06-2023,16.63,17.53,16.17,17.14,511747.137
24-06-2023,17.14,17.53,16.38,16.64,348034.845
25-06-2023,16.64,17.37,16.57,16.96,346530.213
26-06-2023,16.96,17.12,15.92,16.27,476051.36
27-06-2023,16.27,16.93,16.13,16.63,579354.901
28-06-2023,16.63,16.65,15.6,15.97,607410.983
29-06-2023,15.97,18.28,15.87,17.99,1004660.857
30-06-2023,17.99,20.01,16.96,18.86,1430923.824
01-07-2023,18.86,19,17.91,18.7,519832.051
02-07-2023,18.7,19.73,18.53,19.46,821127.364
03-07-2023,19.46,19.65,18.88,19.26,523885.758
04-07-2023,19.26,19.94,19.06,19.13,708454.878
05-07-2023,19.13,19.38,18.31,18.99,562001.174
06-07-2023,18.99,20.97,18.83,19.6,1347621.778
07-07-2023,19.6,21.84,19.28,21.5,1358344.068
08-07-2023,21.5,22.47,21.32,21.83,770503.886
09-07-2023,21.83,22.36,21,21.32,522414.982
10-07-2023,21.32,21.8,20.47,21.3,701640.21
11-07-2023,21.3,22.37,21.21,22.07,604740.584
12-07-2023,22.07,22.8,21.76,21.94,799936.372
13-07-2023,21.94,26.82,21.43,25.99,1625314.827
14-07-2023,25.99,32.44,25.23,26.67,2075412.401
15-07-2023,26.67,29.09,26.46,27.45,966608.649
16-07-2023,27.45,28.67,26.46,27.42,657704.676
17-07-2023,27.42,28.48,25.57,26.8,815820.808
18-07-2023,26.8,27.1,24.76,25.56,651015.19
19-07-2023,25.56,26.98,25.35,26.31,417757.324
20-07-2023,26.31,27.37,24.84,25.38,451933.77
21-07-2023,25.38,26,25.06,25.5,267311.304
22-07-2023,25.5,25.96,24.01,24.52,251082.59
23-07-2023,24.52,25.25,24.16,24.75,255515.825
24-07-2023,24.75,24.84,22.75,23.36,508237.706
25-07-2023,23.36,23.59,22.72,23.27,260026.508
26-07-2023,23.27,25.67,23.18,25.17,637614.695
27-07-2023,25.17,25.66,24.67,25.1,416902.157
28-07-2023,25.1,25.55,24.54,24.8,307467.519
29-07-2023,24.8,25.39,24.75,25.16,188705.652
30-07-2023,25.16,25.2,23.49,24.26,438546.418
31-07-2023,24.26,24.79,23.51,23.73,320083.178
01-08-2023,23.73,24.07,22.78,24.06,471087.882
02-08-2023,24.06,24.29,22.83,23.15,387861.455
03-08-2023,23.15,23.38,22.46,22.64,371483.719
04-08-2023,22.64,23.57,22.48,22.8,343111.072
